# Generated with codectest (time: 467min)

Tools detected:
+ mencoder dev-SVN-r26753-4.1.2
+ mkvmerge v2.2.0
+ mp4creator 1.5.0.1
+ mplayer dev-SVN-r26753-4.1.2
+ ogmmerge v1.5
+ undvd 0.6.1

+-------------+-------------+-------------+-------------+
| container   | vcodec      | acodec      | status      |
| au          | libtheora   | sonicls     | enc_failed  |
| au          | libtheora   | vorbis      | enc_failed  |
| au          | libtheora   | wmav1       | enc_failed  |
| au          | libtheora   | wmav2       | enc_failed  |
| au          | ljpeg       | aac         | enc_failed  |
| au          | ljpeg       | ac3         | enc_failed  |
| au          | ljpeg       | flac        | enc_failed  |
| au          | ljpeg       | g726        | enc_failed  |
| au          | ljpeg       | libamr_nb   | enc_failed  |
| au          | ljpeg       | libamr_wb   | enc_failed  |
| au          | ljpeg       | mp2         | enc_failed  |
| au          | ljpeg       | mp3         | enc_failed  |
| au          | ljpeg       | roq_dpcm    | enc_failed  |
| au          | ljpeg       | sonic       | enc_failed  |
| au          | ljpeg       | sonicls     | enc_failed  |
| au          | ljpeg       | vorbis      | enc_failed  |
| au          | ljpeg       | wmav1       | enc_failed  |
| au          | ljpeg       | wmav2       | enc_failed  |
| au          | mjpeg       | aac         | enc_failed  |
| au          | mjpeg       | ac3         | enc_failed  |
| au          | mjpeg       | flac        | enc_failed  |
| au          | mjpeg       | g726        | enc_failed  |
| au          | mjpeg       | libamr_nb   | enc_failed  |
| au          | mjpeg       | libamr_wb   | enc_failed  |
| au          | mjpeg       | mp2         | enc_failed  |
| au          | mjpeg       | mp3         | enc_failed  |
| au          | mjpeg       | roq_dpcm    | enc_failed  |
| au          | mjpeg       | sonic       | enc_failed  |
| au          | mjpeg       | sonicls     | enc_failed  |
| au          | mjpeg       | vorbis      | enc_failed  |
| au          | mjpeg       | wmav1       | enc_failed  |
| au          | mjpeg       | wmav2       | enc_failed  |
| au          | mpeg1video  | aac         | enc_failed  |
| au          | mpeg1video  | ac3         | enc_failed  |
| au          | mpeg1video  | flac        | enc_failed  |
| au          | mpeg1video  | g726        | enc_failed  |
| au          | mpeg1video  | libamr_nb   | enc_failed  |
| au          | mpeg1video  | libamr_wb   | enc_failed  |
| au          | mpeg1video  | mp2         | enc_failed  |
| au          | mpeg1video  | mp3         | enc_failed  |
| au          | mpeg1video  | roq_dpcm    | enc_failed  |
| au          | mpeg1video  | sonic       | enc_failed  |
| au          | mpeg1video  | sonicls     | enc_failed  |
| au          | mpeg1video  | vorbis      | enc_failed  |
| au          | mpeg1video  | wmav1       | enc_failed  |
| au          | mpeg1video  | wmav2       | enc_failed  |
| au          | mpeg2video  | aac         | enc_failed  |
| au          | mpeg2video  | ac3         | enc_failed  |
| au          | mpeg2video  | flac        | enc_failed  |
| au          | mpeg2video  | g726        | enc_failed  |
| au          | mpeg2video  | libamr_nb   | enc_failed  |
| au          | mpeg2video  | libamr_wb   | enc_failed  |
| au          | mpeg2video  | mp2         | enc_failed  |
| au          | mpeg2video  | mp3         | enc_failed  |
| au          | mpeg2video  | roq_dpcm    | enc_failed  |
| au          | mpeg2video  | sonic       | enc_failed  |
| au          | mpeg2video  | sonicls     | enc_failed  |
| au          | mpeg2video  | vorbis      | enc_failed  |
| au          | mpeg2video  | wmav1       | enc_failed  |
| au          | mpeg2video  | wmav2       | enc_failed  |
| au          | mpeg4       | aac         | enc_failed  |
| au          | mpeg4       | ac3         | enc_failed  |
| au          | mpeg4       | flac        | enc_failed  |
| au          | mpeg4       | g726        | enc_failed  |
| au          | mpeg4       | libamr_nb   | enc_failed  |
| au          | mpeg4       | libamr_wb   | enc_failed  |
| au          | mpeg4       | mp2         | enc_failed  |
| au          | mpeg4       | mp3         | enc_failed  |
| au          | mpeg4       | roq_dpcm    | enc_failed  |
| au          | mpeg4       | sonic       | enc_failed  |
| au          | mpeg4       | sonicls     | enc_failed  |
